,open,high,low,close,volume,return
2025-12-22,15.6,16.03,15.6,15.82,33659323.0,
2025-12-23,15.8,15.97,15.66,15.71,20320232.0,-0.006953223767383054
2025-12-24,15.68,16.68,15.68,16.44,47284285.0,0.04646721833227252
2025-12-25,16.34,16.55,16.11,16.48,24377393.0,0.0024330900243307862
2025-12-26,16.41,16.46,16.17,16.26,21874225.0,-0.013349514563106735
2025-12-27,16.41,16.46,16.17,16.26,21874225.0,0.0
2025-12-28,16.41,16.46,16.17,16.26,21874225.0,0.0
2025-12-29,16.27,16.8,16.11,16.42,29221374.0,0.009840098400984099
2025-12-30,16.36,16.75,16.35,16.39,29675413.0,-0.0018270401948843329
2025-12-31,16.6,16.96,16.21,16.28,23600851.0,-0.006711409395973145
2026-01-01,16.6,16.96,16.21,16.28,23600851.0,0.0
2026-01-02,16.6,16.96,16.21,16.28,23600851.0,0.0
2026-01-03,16.6,16.96,16.21,16.28,23600851.0,0.0
2026-01-04,16.6,16.96,16.21,16.28,23600851.0,0.0
2026-01-05,16.35,16.98,16.33,16.9,41302331.0,0.038083538083537816
2026-01-06,16.84,17.04,16.74,16.96,33066887.0,0.0035502958579882726
2026-01-07,16.96,17.28,16.95,17.12,38695432.0,0.009433962264151052
2026-01-08,17.06,17.35,16.95,17.21,28267202.0,0.005257009345794428
2026-01-09,17.16,17.75,17.1,17.43,37475470.0,0.01278326554328868
2026-01-10,17.16,17.75,17.1,17.43,37475470.0,0.0
2026-01-11,17.16,17.75,17.1,17.43,37475470.0,0.0
2026-01-12,17.5,17.9,17.39,17.85,40178396.0,0.024096385542168752
2026-01-13,17.8,17.8,17.23,17.31,41834661.0,-0.03025210084033625
2026-01-14,17.43,17.77,17.16,17.41,40128662.0,0.005777007510109788
2026-01-15,17.52,17.7,17.3,17.64,26095399.0,0.013210798391728895
2026-01-16,17.69,19.33,17.59,18.84,82279619.0,0.0680272108843536
2026-01-17,17.69,19.33,17.59,18.84,82279619.0,0.0
2026-01-18,17.69,19.33,17.59,18.84,82279619.0,0.0
2026-01-19,19.8,20.62,19.7,19.92,105049257.0,0.05732484076433142
2026-01-20,19.93,20.93,19.93,20.19,74205868.0,0.013554216867469826
2026-01-21,20.18,21.12,19.99,20.57,73805543.0,0.018821198613174772
2026-01-22,20.91,21.05,20.14,20.67,65605227.0,0.004861448711716232
2026-01-23,20.83,21.21,20.54,20.88,62515484.0,0.01015965166908539
2026-01-24,20.83,21.21,20.54,20.88,62515484.0,0.0
2026-01-25,20.83,21.21,20.54,20.88,62515484.0,0.0
2026-01-26,20.88,21.24,20.43,20.63,52453027.0,-0.011973180076628398
2026-01-27,20.62,21.48,20.1,21.03,61040815.0,0.019389238972370437
2026-01-28,21.64,21.85,21.07,21.43,67996730.0,0.01902044698050398
2026-01-29,21.44,22.22,21.12,21.19,77040800.0,-0.011199253383107677
2026-01-30,21.0,21.19,19.61,20.5,65249264.0,-0.0325625294950449
2026-01-31,21.0,21.19,19.61,20.5,65249264.0,0.0
2026-02-01,21.0,21.19,19.61,20.5,65249264.0,0.0
2026-02-02,20.29,20.56,19.33,19.37,42311108.0,-0.05512195121951213
2026-02-03,19.6,20.07,19.3,20.0,36321109.0,0.03252452245740822
2026-02-04,19.82,20.75,19.79,20.72,47829310.0,0.03600000000000003
2026-02-05,20.5,22.79,20.44,22.79,99486250.0,0.09990347490347484
2026-02-06,21.93,22.3,21.21,21.28,94716547.0,-0.06625713032031588
2026-02-07,21.93,22.3,21.21,21.28,94716547.0,0.0
2026-02-08,21.93,22.3,21.21,21.28,94716547.0,0.0
2026-02-09,21.43,21.59,20.68,21.1,73096473.0,-0.008458646616541388
2026-02-10,21.2,21.89,21.14,21.24,68748322.0,0.006635071090047351
2026-02-11,21.24,22.0,21.0,21.06,57792842.00000001,-0.008474576271186418
2026-02-12,21.14,22.9,20.8,22.53,92297831.0,0.06980056980056992
2026-02-13,22.3,22.35,21.26,21.27,58705366.0,-0.055925432756325
2026-02-14,22.3,22.35,21.26,21.27,58705366.0,0.0
2026-02-15,22.3,22.35,21.26,21.27,58705366.0,0.0
2026-02-16,22.3,22.35,21.26,21.27,58705366.0,0.0
2026-02-17,22.3,22.35,21.26,21.27,58705366.0,0.0
2026-02-18,22.3,22.35,21.26,21.27,58705366.0,0.0
2026-02-19,22.3,22.35,21.26,21.27,58705366.0,0.0
2026-02-20,22.3,22.35,21.26,21.27,58705366.0,0.0
2026-02-21,22.3,22.35,21.26,21.27,58705366.0,0.0
