,open,high,low,close,volume,return
2025-12-22,62.74,62.87,62.5,62.55,2584643.0,
2025-12-23,62.55,62.65,62.08,62.14,2699361.0,-0.006554756195043865
2025-12-24,62.14,62.17,61.84,62.1,2774666.0,-0.0006437077566784355
2025-12-25,62.11,62.99,62.03,62.69,3790061.0,0.00950080515297902
2025-12-26,62.51,62.51,61.89,62.13,4625330.0,-0.00893284415377249
2025-12-27,62.51,62.51,61.89,62.13,4625330.0,0.0
2025-12-28,62.51,62.51,61.89,62.13,4625330.0,0.0
2025-12-29,62.13,62.18,61.35,61.47,4647769.0,-0.01062288749396434
2025-12-30,61.4,61.41,61.04,61.19,3207291.0,-0.004555067512607813
2025-12-31,61.18,61.3,60.65,60.74,3757883.0,-0.007354142833796318
2026-01-01,61.18,61.3,60.65,60.74,3757883.0,0.0
2026-01-02,61.18,61.3,60.65,60.74,3757883.0,0.0
2026-01-03,61.18,61.3,60.65,60.74,3757883.0,0.0
2026-01-04,61.18,61.3,60.65,60.74,3757883.0,0.0
2026-01-05,60.69,61.67,60.65,61.58,5487041.0,0.013829436944353013
2026-01-06,61.61,63.38,61.33,63.38,4926679.0,0.029230269568041534
2026-01-07,62.75,62.75,62.17,62.26,4488400.0,-0.0176711896497318
2026-01-08,62.11,62.39,61.88,62.3,2869095.0,0.0006424670735625249
2026-01-09,62.35,63.05,62.3,62.6,4624508.0,0.0048154093097914075
2026-01-10,62.35,63.05,62.3,62.6,4624508.0,0.0
2026-01-11,62.35,63.05,62.3,62.6,4624508.0,0.0
2026-01-12,62.61,63.45,62.6,63.2,5115730.0,0.009584664536741228
2026-01-13,63.22,63.63,62.72,63.55,6175840.0,0.005537974683544222
2026-01-14,63.3,63.99,62.72,63.3,6683971.000000001,-0.003933910306844979
2026-01-15,62.96,63.54,62.68,62.95,3933010.0,-0.005529225908372792
2026-01-16,62.94,63.0,61.86,62.0,4313305.0,-0.01509134233518672
2026-01-17,62.94,63.0,61.86,62.0,4313305.0,0.0
2026-01-18,62.94,63.0,61.86,62.0,4313305.0,0.0
2026-01-19,61.88,62.18,61.67,61.99,3081108.0,-0.0001612903225806095
2026-01-20,61.99,64.7,61.93,64.19,12109039.0,0.03548959509598326
2026-01-21,63.85,64.35,63.02,63.18,6227532.0,-0.015734538090045103
2026-01-22,63.22,64.58,63.21,63.52,7789494.0,0.005381449825894391
2026-01-23,63.5,64.09,62.49,62.55,8841048.0,-0.015270780856423305
2026-01-24,63.5,64.09,62.49,62.55,8841048.0,0.0
2026-01-25,63.5,64.09,62.49,62.55,8841048.0,0.0
2026-01-26,59.0,59.66,56.38,56.39,39661118.0,-0.09848121502797758
2026-01-27,55.98,55.98,54.11,54.35,23654625.0,-0.03617662706153568
2026-01-28,54.2,54.9,53.9,54.38,16203107.999999998,0.0005519779208831288
2026-01-29,54.12,59.82,53.88,59.82,44636709.0,0.10003677822728929
2026-01-30,58.8,58.8,55.0,55.32,29614000.0,-0.07522567703109329
2026-01-31,58.8,58.8,55.0,55.32,29614000.0,0.0
2026-02-01,58.8,58.8,55.0,55.32,29614000.0,0.0
2026-02-02,55.01,57.55,55.01,55.87,19175809.0,0.009942154736080955
2026-02-03,55.36,56.41,54.81,55.21,14395276.999999998,-0.011813137640952154
2026-02-04,54.96,56.0,54.62,55.61,12209104.0,0.007245064299945536
2026-02-05,55.3,56.35,55.28,55.78,11340369.0,0.0030570041359467837
2026-02-06,55.5,55.8,55.0,55.24,8089225.0,-0.00968088920760124
2026-02-07,55.5,55.8,55.0,55.24,8089225.0,0.0
2026-02-08,55.5,55.8,55.0,55.24,8089225.0,0.0
2026-02-09,55.36,56.1,55.36,55.66,7416694.0,0.007603186097031145
2026-02-10,55.54,55.55,55.0,55.08,8635649.0,-0.010420409629895766
2026-02-11,55.0,55.28,54.9,55.03,4563655.0,-0.0009077705156136373
2026-02-12,54.99,55.0,54.32,54.34,7376788.0,-0.01253861530074496
2026-02-13,54.42,54.74,54.04,54.07,4975399.0,-0.004968715495031306
2026-02-14,54.42,54.74,54.04,54.07,4975399.0,0.0
2026-02-15,54.42,54.74,54.04,54.07,4975399.0,0.0
2026-02-16,54.42,54.74,54.04,54.07,4975399.0,0.0
2026-02-17,54.42,54.74,54.04,54.07,4975399.0,0.0
2026-02-18,54.42,54.74,54.04,54.07,4975399.0,0.0
2026-02-19,54.42,54.74,54.04,54.07,4975399.0,0.0
2026-02-20,54.42,54.74,54.04,54.07,4975399.0,0.0
2026-02-21,54.42,54.74,54.04,54.07,4975399.0,0.0
2026-02-22,54.42,54.74,54.04,54.07,4975399.0,0.0
2026-02-23,54.42,54.74,54.04,54.07,4975399.0,0.0
2026-02-24,54.7,54.76,53.92,53.92,5823346.0,-0.002774181616423177
2026-02-25,53.99,54.45,53.91,54.0,6862933.0,0.0014836795252224366
2026-02-26,54.0,54.01,53.18,53.25,7699158.0,-0.01388888888888884
2026-02-27,53.22,53.41,53.03,53.2,4709386.0,-0.0009389671361501595
2026-02-28,53.22,53.41,53.03,53.2,4709386.0,0.0
2026-03-01,53.22,53.41,53.03,53.2,4709386.0,0.0
2026-03-02,52.7,52.84,51.88,51.91,9340067.0,-0.024248120300751963
2026-03-03,51.8,52.59,51.13,51.19,9434338.0,-0.013870159892120926
2026-03-04,50.92,50.93,50.14,50.31,6594809.0,-0.017190857589372888
2026-03-05,50.88,51.14,50.56,50.77,4278638.0,0.0091433114688928
2026-03-06,50.74,51.85,50.6,51.72,5794556.0,0.018711837699428635
