,open,high,low,close,volume,return
2025-12-22,5.1,5.15,5.08,5.12,126862494.0,
2025-12-23,5.12,5.12,4.92,4.97,140675329.0,-0.02929687500000011
2025-12-24,4.93,5.04,4.88,5.01,82796372.0,0.008048289738430636
2025-12-25,5.01,5.03,4.96,4.99,79924992.0,-0.003992015968063756
2025-12-26,4.96,5.1,4.91,5.04,131460878.0,0.01002004008016022
2025-12-27,4.96,5.1,4.91,5.04,131460878.0,0.0
2025-12-28,4.96,5.1,4.91,5.04,131460878.0,0.0
2025-12-29,5.0,5.06,4.94,4.96,101050568.0,-0.015873015873015928
2025-12-30,4.92,4.95,4.85,4.85,95944083.0,-0.022177419354838745
2025-12-31,4.85,4.9,4.79,4.88,76913979.0,0.006185567010309256
2026-01-01,4.85,4.9,4.79,4.88,76913979.0,0.0
2026-01-02,4.85,4.9,4.79,4.88,76913979.0,0.0
2026-01-03,4.85,4.9,4.79,4.88,76913979.0,0.0
2026-01-04,4.85,4.9,4.79,4.88,76913979.0,0.0
2026-01-05,4.89,4.95,4.84,4.95,88012979.0,0.014344262295082011
2026-01-06,4.95,5.38,4.93,5.24,241810421.0,0.05858585858585852
2026-01-07,5.11,5.17,5.07,5.09,140188378.0,-0.028625954198473358
2026-01-08,5.1,5.14,5.07,5.1,93471198.0,0.0019646365422396617
2026-01-09,5.11,5.2,5.07,5.15,139387112.0,0.009803921568627638
2026-01-10,5.11,5.2,5.07,5.15,139387112.0,0.0
2026-01-11,5.11,5.2,5.07,5.15,139387112.0,0.0
2026-01-12,5.16,5.28,5.12,5.23,164925461.0,0.01553398058252431
2026-01-13,5.24,5.27,5.08,5.09,127131178.0,-0.026768642447418833
2026-01-14,5.08,5.17,5.04,5.1,120652629.0,0.0019646365422396617
2026-01-15,5.05,5.15,5.0,5.01,88915589.0,-0.01764705882352935
2026-01-16,5.0,5.15,4.99,5.07,94028693.0,0.011976047904191711
2026-01-17,5.0,5.15,4.99,5.07,94028693.0,0.0
2026-01-18,5.0,5.15,4.99,5.07,94028693.0,0.0
2026-01-19,5.08,5.08,5.01,5.03,67117010.0,-0.007889546351084853
2026-01-20,5.01,5.02,4.92,4.94,74538470.0,-0.017892644135188873
2026-01-21,4.9,4.95,4.87,4.95,48999823.0,0.002024291497975561
2026-01-22,4.94,4.98,4.91,4.94,45507840.0,-0.002020202020201922
2026-01-23,4.95,5.04,4.92,5.04,81365093.0,0.020242914979756943
2026-01-24,4.95,5.04,4.92,5.04,81365093.0,0.0
2026-01-25,4.95,5.04,4.92,5.04,81365093.0,0.0
2026-01-26,5.04,5.04,4.9,4.93,76930514.0,-0.02182539682539686
2026-01-27,4.9,4.92,4.81,4.92,59466923.0,-0.0020283975659228792
2026-01-28,4.91,4.93,4.85,4.85,44823801.0,-0.014227642276422814
2026-01-29,4.8,4.82,4.66,4.67,95363530.0,-0.03711340206185565
2026-01-30,4.63,4.71,4.6,4.67,45595538.0,0.0
2026-01-31,4.63,4.71,4.6,4.67,45595538.0,0.0
2026-02-01,4.63,4.71,4.6,4.67,45595538.0,0.0
2026-02-02,4.62,4.66,4.58,4.59,44948863.0,-0.017130620985010725
2026-02-03,4.59,4.62,4.52,4.58,50236436.0,-0.002178649237472685
2026-02-04,4.71,4.79,4.65,4.67,61373290.0,0.01965065502183405
2026-02-05,4.73,4.77,4.7,4.71,48033550.0,0.008565310492505418
2026-02-06,4.65,4.67,4.61,4.67,36748874.0,-0.00849256900212314
2026-02-07,4.65,4.67,4.61,4.67,36748874.0,0.0
2026-02-08,4.65,4.67,4.61,4.67,36748874.0,0.0
2026-02-09,4.71,4.73,4.68,4.69,34967231.0,0.004282655246252709
2026-02-10,4.69,4.79,4.68,4.75,48839289.0,0.012793176972281328
2026-02-11,4.73,4.73,4.68,4.68,32522680.0,-0.01473684210526327
2026-02-12,4.68,4.7,4.61,4.63,34913059.0,-0.010683760683760646
2026-02-13,4.61,4.65,4.6,4.6,26191854.0,-0.006479481641468721
2026-02-14,4.61,4.65,4.6,4.6,26191854.0,0.0
2026-02-15,4.61,4.65,4.6,4.6,26191854.0,0.0
2026-02-16,4.61,4.65,4.6,4.6,26191854.0,0.0
2026-02-17,4.61,4.65,4.6,4.6,26191854.0,0.0
2026-02-18,4.61,4.65,4.6,4.6,26191854.0,0.0
2026-02-19,4.61,4.65,4.6,4.6,26191854.0,0.0
2026-02-20,4.61,4.65,4.6,4.6,26191854.0,0.0
2026-02-21,4.61,4.65,4.6,4.6,26191854.0,0.0
2026-02-22,4.61,4.65,4.6,4.6,26191854.0,0.0
2026-02-23,4.61,4.65,4.6,4.6,26191854.0,0.0
2026-02-24,4.69,4.79,4.66,4.74,75441164.0,0.0304347826086957
2026-02-25,4.74,4.77,4.71,4.76,44373667.0,0.00421940928270037
2026-02-26,4.76,4.76,4.68,4.71,40282862.0,-0.010504201680672232
2026-02-27,4.68,4.74,4.66,4.74,35975007.0,0.006369426751592355
2026-02-28,4.68,4.74,4.66,4.74,35975007.0,0.0
