,open,high,low,close,volume,return
2025-12-22,11.99,12.13,11.98,11.99,5201515.0,
2025-12-23,11.97,12.08,11.83,11.89,4291423.0,-0.008340283569641338
2025-12-24,11.89,12.12,11.86,12.06,4779414.0,0.014297729184188368
2025-12-25,12.01,12.13,12.01,12.12,4159294.0,0.004975124378109319
2025-12-26,12.06,12.15,11.99,12.02,5530200.0,-0.008250825082508184
2025-12-27,12.06,12.15,11.99,12.02,5530200.0,0.0
2025-12-28,12.06,12.15,11.99,12.02,5530200.0,0.0
2025-12-29,12.01,12.25,11.93,12.12,6350491.0,0.008319467554076532
2025-12-30,12.1,12.17,12.01,12.02,4466131.0,-0.008250825082508184
2025-12-31,12.05,12.28,11.96,12.22,7352000.0,0.016638935108153063
2026-01-01,12.05,12.28,11.96,12.22,7352000.0,0.0
2026-01-02,12.05,12.28,11.96,12.22,7352000.0,0.0
2026-01-03,12.05,12.28,11.96,12.22,7352000.0,0.0
2026-01-04,12.05,12.28,11.96,12.22,7352000.0,0.0
2026-01-05,12.16,12.5,12.12,12.4,9519557.0,0.014729950900163713
2026-01-06,12.37,12.52,12.22,12.49,10287271.0,0.007258064516129092
2026-01-07,12.43,12.48,12.17,12.22,10888903.0,-0.021617293835068052
2026-01-08,12.14,12.4,12.14,12.35,8093423.0,0.010638297872340274
2026-01-09,12.32,12.48,12.25,12.44,8668894.0,0.007287449392712642
2026-01-10,12.32,12.48,12.25,12.44,8668894.0,0.0
2026-01-11,12.32,12.48,12.25,12.44,8668894.0,0.0
2026-01-12,12.39,12.53,12.33,12.53,10378177.0,0.007234726688102988
2026-01-13,12.55,12.59,12.19,12.22,9785214.0,-0.02474062250598552
2026-01-14,12.23,12.45,12.04,12.22,9045515.0,0.0
2026-01-15,12.2,12.38,12.13,12.25,7022600.0,0.002454991816693841
2026-01-16,12.3,12.42,12.15,12.38,7813036.0,0.010612244897959311
2026-01-17,12.3,12.42,12.15,12.38,7813036.0,0.0
2026-01-18,12.3,12.42,12.15,12.38,7813036.0,0.0
2026-01-19,12.35,12.47,12.2,12.47,5915900.0,0.007269789983844976
2026-01-20,12.49,12.52,12.32,12.4,6116302.0,-0.005613472333600655
2026-01-21,12.36,13.64,12.35,13.64,28656523.0,0.10000000000000009
2026-01-22,13.82,13.84,13.02,13.28,41452987.0,-0.026392961876832932
2026-01-23,13.31,13.66,13.21,13.5,25398100.0,0.016566265060240948
2026-01-24,13.31,13.66,13.21,13.5,25398100.0,0.0
2026-01-25,13.31,13.66,13.21,13.5,25398100.0,0.0
2026-01-26,13.5,13.75,13.33,13.42,19133116.0,-0.00592592592592589
2026-01-27,13.38,13.45,13.1,13.19,14761710.999999998,-0.01713859910581228
2026-01-28,13.22,13.28,13.0,13.08,9998400.0,-0.0083396512509476
2026-01-29,13.11,13.18,12.52,12.63,16352800.0,-0.0344036697247706
2026-01-30,12.6,12.7,12.32,12.65,9314700.0,0.0015835312747425334
2026-01-31,12.6,12.7,12.32,12.65,9314700.0,0.0
2026-02-01,12.6,12.7,12.32,12.65,9314700.0,0.0
2026-02-02,12.6,12.78,12.25,12.27,7970600.0,-0.030039525691699653
2026-02-03,12.36,12.48,12.31,12.47,6389100.0,0.016299918500407573
2026-02-04,12.42,12.57,12.35,12.56,6707784.0,0.0072173215717723505
2026-02-05,12.47,12.58,12.4,12.44,4677100.0,-0.009554140127388644
2026-02-06,12.38,13.1,12.29,12.9,16190400.0,0.036977491961414755
2026-02-07,12.38,13.1,12.29,12.9,16190400.0,0.0
2026-02-08,12.38,13.1,12.29,12.9,16190400.0,0.0
2026-02-09,12.9,13.1,12.84,12.95,9751400.0,0.003875968992248069
2026-02-10,12.95,13.25,12.86,13.14,10525300.0,0.014671814671814776
2026-02-11,13.09,13.37,13.0,13.16,8787651.0,0.0015220700152207556
2026-02-12,13.13,13.23,12.9,13.0,7092100.0,-0.012158054711246202
2026-02-13,12.93,13.37,12.93,13.16,10157200.0,0.012307692307692353
2026-02-14,12.93,13.37,12.93,13.16,10157200.0,0.0
2026-02-15,12.93,13.37,12.93,13.16,10157200.0,0.0
2026-02-16,12.93,13.37,12.93,13.16,10157200.0,0.0
2026-02-17,12.93,13.37,12.93,13.16,10157200.0,0.0
2026-02-18,12.93,13.37,12.93,13.16,10157200.0,0.0
2026-02-19,12.93,13.37,12.93,13.16,10157200.0,0.0
2026-02-20,12.93,13.37,12.93,13.16,10157200.0,0.0
2026-02-21,12.93,13.37,12.93,13.16,10157200.0,0.0
2026-02-22,12.93,13.37,12.93,13.16,10157200.0,0.0
2026-02-23,12.93,13.37,12.93,13.16,10157200.0,0.0
2026-02-24,13.23,13.27,13.08,13.17,8173900.0,0.0007598784194529085
2026-02-25,13.17,13.31,13.14,13.24,7881200.0,0.005315110098709219
2026-02-26,13.24,13.33,13.14,13.29,7333700.0,0.003776435045317106
2026-02-27,13.25,13.26,13.11,13.19,7150300.999999999,-0.007524454477050413
2026-02-28,13.25,13.26,13.11,13.19,7150300.999999999,0.0
2026-03-01,13.25,13.26,13.11,13.19,7150300.999999999,0.0
2026-03-02,12.98,13.04,12.54,12.64,11620500.0,-0.04169825625473833
2026-03-03,12.63,12.94,12.2,12.24,10472500.0,-0.03164556962025322
2026-03-04,12.16,12.23,11.95,12.0,8349234.0,-0.019607843137254943
2026-03-05,12.24,13.2,12.24,13.2,15281670.000000002,0.09999999999999987
2026-03-06,12.91,12.91,12.52,12.78,23697087.0,-0.03181818181818186
2026-03-07,12.91,12.91,12.52,12.78,23697087.0,0.0
2026-03-08,12.91,12.91,12.52,12.78,23697087.0,0.0
2026-03-09,12.55,12.82,12.34,12.51,11317100.0,-0.021126760563380254
2026-03-10,12.68,13.23,12.6,13.05,16230112.0,0.043165467625899456
2026-03-11,13.05,13.33,12.98,13.29,15109600.0,0.018390804597701038
2026-03-12,13.29,13.39,13.06,13.14,10088900.0,-0.011286681715575564
2026-03-13,13.14,13.25,12.91,12.96,8281800.0,-0.013698630136986245
2026-03-14,13.14,13.25,12.91,12.96,8281800.0,0.0
2026-03-15,13.14,13.25,12.91,12.96,8281800.0,0.0
2026-03-16,12.9,13.16,12.8,13.16,8682200.0,0.015432098765431945
2026-03-17,13.24,13.35,12.8,12.8,8997700.0,-0.027355623100303927
2026-03-18,12.8,13.41,12.8,13.38,19245000.0,0.04531250000000009
2026-03-19,13.2,13.49,13.11,13.29,15249145.000000002,-0.0067264573991032695
2026-03-20,13.37,13.71,13.26,13.6,33974100.0,0.02332580887885638
2026-03-21,13.37,13.71,13.26,13.6,33974100.0,0.0
2026-03-22,13.37,13.71,13.26,13.6,33974100.0,0.0
2026-03-23,13.35,13.57,12.6,12.73,29191471.000000004,-0.06397058823529411
2026-03-24,12.99,13.53,12.78,13.18,20844900.0,0.0353495679497251
