,open,high,low,close,volume,return
2025-12-22,49.9,50.27,49.58,49.86,11557422.0,
2025-12-23,50.19,50.52,49.89,50.25,15386264.000000002,0.007821901323706415
2025-12-24,50.1,52.09,50.06,51.58,24456852.0,0.026467661691542244
2025-12-25,51.58,52.29,51.28,51.6,20476343.0,0.0003877471888329431
2025-12-26,52.02,52.52,51.4,52.06,20921743.0,0.00891472868217047
2025-12-27,52.02,52.52,51.4,52.06,20921743.0,0.0
2025-12-28,52.02,52.52,51.4,52.06,20921743.0,0.0
2025-12-29,52.2,52.88,51.93,52.43,18901949.0,0.007107184018440238
2025-12-30,51.96,53.19,51.8,52.1,20025738.0,-0.0062941064276177405
2025-12-31,51.9,52.66,51.39,52.41,18714698.0,0.005950095969289748
2026-01-01,51.9,52.66,51.39,52.41,18714698.0,0.0
2026-01-02,51.9,52.66,51.39,52.41,18714698.0,0.0
2026-01-03,51.9,52.66,51.39,52.41,18714698.0,0.0
2026-01-04,51.9,52.66,51.39,52.41,18714698.0,0.0
2026-01-05,53.05,54.17,52.32,53.51,25893654.0,0.020988360999809164
2026-01-06,53.23,55.82,52.91,55.1,33870907.0,0.029714072136049374
2026-01-07,55.39,55.39,54.17,54.45,20877978.0,-0.011796733212341204
2026-01-08,54.2,57.47,53.92,56.62,30894602.0,0.03985307621671241
2026-01-09,57.0,58.58,55.88,56.88,42602566.0,0.004592016955139666
2026-01-10,57.0,58.58,55.88,56.88,42602566.0,0.0
2026-01-11,57.0,58.58,55.88,56.88,42602566.0,0.0
2026-01-12,57.79,59.3,57.16,58.82,38527867.0,0.034106891701828346
2026-01-13,58.01,58.08,55.2,55.4,38659139.0,-0.05814348860931662
2026-01-14,55.4,56.98,54.6,55.2,29803067.0,-0.0036101083032490378
2026-01-15,55.2,55.76,54.79,55.02,15923196.0,-0.003260869565217428
2026-01-16,55.4,57.55,54.7,57.12,26823996.000000004,0.03816793893129766
2026-01-17,55.4,57.55,54.7,57.12,26823996.000000004,0.0
2026-01-18,55.4,57.55,54.7,57.12,26823996.000000004,0.0
2026-01-19,56.96,57.68,56.16,57.15,19541433.0,0.0005252100840336116
2026-01-20,57.19,57.58,55.45,55.92,16176351.999999998,-0.021522309711285992
2026-01-21,55.49,57.02,55.46,56.31,14112966.0,0.006974248927038573
2026-01-22,56.31,57.89,56.31,57.57,19417925.0,0.02237613212573253
2026-01-23,57.71,59.7,57.37,59.38,25151922.0,0.03143998610387366
2026-01-24,57.71,59.7,57.37,59.38,25151922.0,0.0
2026-01-25,57.71,59.7,57.37,59.38,25151922.0,0.0
2026-01-26,59.87,59.87,56.65,57.05,25448258.0,-0.03923880094307852
2026-01-27,56.73,59.2,55.86,58.6,21480277.0,0.02716914986853647
2026-01-28,58.6,59.11,57.88,58.8,16494737.0,0.0034129692832762792
2026-01-29,58.32,58.72,55.31,55.4,28122534.999999996,-0.05782312925170063
2026-01-30,54.87,55.62,52.94,54.55,24990301.0,-0.01534296028880866
2026-01-31,54.87,55.62,52.94,54.55,24990301.0,0.0
2026-02-01,54.87,55.62,52.94,54.55,24990301.0,0.0
