,open,high,low,close,volume,return
2022-01-01,,,,,,
2022-01-02,,,,,,
2022-01-03,,,,,,
2022-01-04,102.0,105.5,98.15,98.58,6934492.999999999,
2022-01-05,97.0,99.44,95.13,97.3,2937530.0,-0.012984378170014188
2022-01-06,96.95,96.95,93.6,94.3,2175079.0,-0.03083247687564239
2022-01-07,95.57,97.38,90.9,91.06,3039483.0,-0.0343584305408271
2022-01-08,95.57,97.38,90.9,91.06,3039483.0,0.0
2022-01-09,95.57,97.38,90.9,91.06,3039483.0,0.0
2022-01-10,90.98,92.15,89.01,91.24,1549395.0,0.0019767186470458498
2022-01-11,90.06,92.45,90.06,91.4,1251297.0,0.0017536168347216385
2022-01-12,91.43,92.5,90.82,92.18,1017151.0,0.008533916849015277
2022-01-13,92.78,95.66,91.99,93.1,2088099.0000000002,0.009980472987632716
2022-01-14,92.0,94.46,89.86,90.55,2264666.0,-0.027389903329752885
2022-01-15,92.0,94.46,89.86,90.55,2264666.0,0.0
2022-01-16,92.0,94.46,89.86,90.55,2264666.0,0.0
2022-01-17,90.55,91.75,89.89,90.83,2054716.0,0.0030922142462728175
2022-01-18,90.37,94.88,90.08,92.34,2067409.9999999998,0.016624463283056334
2022-01-19,92.04,92.5,89.13,90.44,2048621.0,-0.020576131687242816
2022-01-20,90.46,91.96,89.79,90.35,1467714.0,-0.0009951348960637318
2022-01-21,90.0,90.0,86.28,87.26,2037202.0,-0.03420033204205852
2022-01-22,90.0,90.0,86.28,87.26,2037202.0,0.0
2022-01-23,90.0,90.0,86.28,87.26,2037202.0,0.0
2022-01-24,86.41,86.47,83.52,83.88,2238905.0,-0.03873481549392632
2022-01-25,83.88,84.6,81.73,82.81,1888704.0,-0.012756318550309897
2022-01-26,82.82,84.07,82.25,83.51,891759.0,0.008453085376162406
2022-01-27,84.0,84.0,81.02,81.02,1627736.0,-0.029816788408573935
2022-01-28,81.99,82.3,78.68,78.78,1486952.0,-0.027647494445815823
2022-01-29,81.99,82.3,78.68,78.78,1486952.0,0.0
2022-01-30,81.99,82.3,78.68,78.78,1486952.0,0.0
2022-01-31,81.99,82.3,78.68,78.78,1486952.0,0.0
2022-02-01,81.99,82.3,78.68,78.78,1486952.0,0.0
2022-02-02,81.99,82.3,78.68,78.78,1486952.0,0.0
2022-02-03,81.99,82.3,78.68,78.78,1486952.0,0.0
2022-02-04,81.99,82.3,78.68,78.78,1486952.0,0.0
2022-02-05,81.99,82.3,78.68,78.78,1486952.0,0.0
2022-02-06,81.99,82.3,78.68,78.78,1486952.0,0.0
2022-02-07,80.0,80.3,77.3,77.84,1509664.0,-0.011931962427011888
2022-02-08,77.19,79.5,77.19,78.53,1406030.0,0.008864337101747166
2022-02-09,78.48,80.35,78.48,79.05,1217638.0,0.006621673245893245
2022-02-10,78.53,79.48,78.53,78.92,1003282.0,-0.0016445287792535845
2022-02-11,78.03,78.91,77.3,77.66,795297.0,-0.015965534718702545
2022-02-12,78.03,78.91,77.3,77.66,795297.0,0.0
2022-02-13,78.03,78.91,77.3,77.66,795297.0,0.0
2022-02-14,76.61,77.6,75.32,76.76,1002562.9999999999,-0.011588977594643168
2022-02-15,77.45,79.34,77.4,78.25,1216603.0,0.019411151641479885
2022-02-16,79.92,80.88,78.25,79.9,1245506.0,0.021086261980830745
2022-02-17,80.0,80.7,78.91,79.4,1253013.0,-0.006257822277847325
2022-02-18,79.05,83.3,79.05,81.36,1772921.0,0.02468513853904275
2022-02-19,79.05,83.3,79.05,81.36,1772921.0,0.0
2022-02-20,79.05,83.3,79.05,81.36,1772921.0,0.0
2022-02-21,82.92,85.8,82.1,84.05,2847851.0,0.033062930186823936
2022-02-22,83.23,85.07,81.8,83.79,1799150.9999999998,-0.0030933967876263235
2022-02-23,80.43,81.76,78.89,81.45,3109509.0,-0.027926960257787403
