,open,high,low,close,volume,return
2025-12-22,24.23,24.49,24.23,24.37,6446802.0,
2025-12-23,24.37,24.4,24.07,24.14,5599900.0,-0.009437833401723439
2025-12-24,24.24,24.5,24.17,24.4,8291153.999999999,0.010770505385252704
2025-12-25,24.43,24.59,24.36,24.59,7027761.0,0.0077868852459017646
2025-12-26,24.68,24.75,24.41,24.58,7618300.0,-0.0004066693777958763
2025-12-27,24.68,24.75,24.41,24.58,7618300.0,0.0
2025-12-28,24.68,24.75,24.41,24.58,7618300.0,0.0
2025-12-29,24.68,24.96,24.56,24.69,9842428.0,0.004475183075671296
2025-12-30,24.59,24.93,24.5,24.76,8315924.000000001,0.0028351559335764165
2025-12-31,24.79,24.86,24.57,24.62,6468924.0,-0.0056542810985460434
2026-01-01,24.79,24.86,24.57,24.62,6468924.0,0.0
2026-01-02,24.79,24.86,24.57,24.62,6468924.0,0.0
2026-01-03,24.79,24.86,24.57,24.62,6468924.0,0.0
2026-01-04,24.79,24.86,24.57,24.62,6468924.0,0.0
2026-01-05,24.71,24.98,24.61,24.91,8699361.0,0.011779041429731851
2026-01-06,24.96,25.2,24.86,25.16,11176043.0,0.010036130068245663
2026-01-07,25.28,25.35,24.81,24.85,11430903.0,-0.012321144674085849
2026-01-08,24.75,25.06,24.69,24.88,8996853.0,0.0012072434607643956
2026-01-09,24.86,25.19,24.79,25.19,13689003.0,0.012459807073954998
2026-01-10,24.86,25.19,24.79,25.19,13689003.0,0.0
2026-01-11,24.86,25.19,24.79,25.19,13689003.0,0.0
2026-01-12,25.3,26.18,25.29,25.95,23740200.0,0.030170702659785498
2026-01-13,25.96,25.98,25.02,25.14,17820225.0,-0.03121387283236987
2026-01-14,25.11,25.69,24.96,25.34,17907814.0,0.007955449482895727
2026-01-15,25.3,25.46,25.06,25.27,9914011.0,-0.002762430939226568
2026-01-16,25.42,25.9,25.13,25.65,18339312.0,0.015037593984962294
2026-01-17,25.42,25.9,25.13,25.65,18339312.0,0.0
2026-01-18,25.42,25.9,25.13,25.65,18339312.0,0.0
2026-01-19,25.56,25.64,25.3,25.44,9948839.0,-0.008187134502923854
2026-01-20,25.46,26.08,25.45,25.69,19580832.0,0.009827044025157328
2026-01-21,25.46,26.1,25.4,26.09,22661165.0,0.015570260801868407
2026-01-22,26.35,26.6,25.84,25.96,18831482.0,-0.004982752012265168
2026-01-23,25.88,26.03,25.77,25.96,14402031.0,0.0
2026-01-24,25.88,26.03,25.77,25.96,14402031.0,0.0
2026-01-25,25.88,26.03,25.77,25.96,14402031.0,0.0
2026-01-26,25.89,26.25,25.21,25.4,15732219.0,-0.02157164869029282
2026-01-27,25.3,25.6,24.32,25.56,14916316.0,0.006299212598425141
