,open,high,low,close,volume,return
2025-12-22,178.3,180.18,177.5,178.15,3289062.0000000005,
2025-12-23,178.15,178.51,176.6,177.3,2595939.0,-0.004771260174010639
2025-12-24,177.0,177.3,175.24,175.6,3869889.0,-0.00958826847151728
2025-12-25,175.95,179.0,175.95,178.67,4320687.0,0.017482915717539793
2025-12-26,178.0,178.48,176.68,177.7,2887360.0,-0.005429003190238979
2025-12-27,178.0,178.48,176.68,177.7,2887360.0,0.0
2025-12-28,178.0,178.48,176.68,177.7,2887360.0,0.0
2025-12-29,176.82,177.16,174.4,175.0,5076665.0,-0.015194147439504757
2025-12-30,175.01,175.56,172.69,173.05,4220714.0,-0.011142857142857121
2025-12-31,172.58,173.86,171.16,171.7,3645542.0,-0.007801213522103612
2026-01-01,172.58,173.86,171.16,171.7,3645542.0,0.0
2026-01-02,172.58,173.86,171.16,171.7,3645542.0,0.0
2026-01-03,172.58,173.86,171.16,171.7,3645542.0,0.0
2026-01-04,172.58,173.86,171.16,171.7,3645542.0,0.0
2026-01-05,171.58,177.92,171.58,176.99,7126836.0,0.030809551543389713
2026-01-06,177.5,179.22,175.3,179.09,5194302.0,0.011865077123001333
2026-01-07,179.0,180.5,176.8,177.49,4460157.0,-0.008934055502819782
2026-01-08,176.77,177.47,175.02,176.5,4801856.0,-0.005577779029804497
2026-01-09,179.37,179.6,175.35,176.55,4365984.0,0.0002832861189803193
2026-01-10,179.37,179.6,175.35,176.55,4365984.0,0.0
2026-01-11,179.37,179.6,175.35,176.55,4365984.0,0.0
2026-01-12,176.62,181.23,176.1,179.83,7225253.0,0.018578306428773672
2026-01-13,180.01,180.47,176.5,176.98,5392972.0,-0.01584830117333047
2026-01-14,176.84,178.53,174.1,175.48,7717100.0,-0.008475533958639425
2026-01-15,174.43,175.8,172.23,174.28,6253032.0,-0.006838386140870734
2026-01-16,174.28,174.5,171.58,172.37,6086600.0,-0.010959375717236597
2026-01-17,174.28,174.5,171.58,172.37,6086600.0,0.0
2026-01-18,174.28,174.5,171.58,172.37,6086600.0,0.0
2026-01-19,172.0,172.15,168.0,169.36,8762294.0,-0.017462435458606484
2026-01-20,169.4,172.19,169.0,170.99,6559403.0,0.009624468587623891
2026-01-21,171.0,171.0,166.6,166.99,8385983.0,-0.023393180887771203
2026-01-22,166.98,168.37,166.0,166.63,6262348.0,-0.0021558177136355994
2026-01-23,167.0,167.2,164.48,164.76,8029280.0,-0.011222468943167474
2026-01-24,167.0,167.2,164.48,164.76,8029280.0,0.0
2026-01-25,167.0,167.2,164.48,164.76,8029280.0,0.0
2026-01-26,164.7,165.89,160.69,164.38,11273032.0,-0.0023063850449137613
2026-01-27,164.97,164.97,161.07,161.26,7539711.0,-0.01898041124224359
2026-01-28,160.9,162.6,160.15,161.29,7776847.0,0.00018603497457525542
2026-01-29,161.7,177.42,161.29,177.42,24371174.0,0.10000620001240001
2026-01-30,176.91,176.91,170.33,171.01,15579542.000000002,-0.036128959531056215
2026-01-31,176.91,176.91,170.33,171.01,15579542.000000002,0.0
2026-02-01,176.91,176.91,170.33,171.01,15579542.000000002,0.0
2026-02-02,171.2,180.98,171.2,173.5,13639201.0,0.014560552014502237
2026-02-03,171.5,177.0,171.5,174.35,7635608.0,0.004899135446685854
2026-02-04,173.72,182.72,172.61,180.58,14918660.999999998,0.035732721537138135
2026-02-05,180.05,183.97,178.61,180.21,9669024.0,-0.0020489533724664666
2026-02-06,179.55,181.98,174.15,175.1,8652305.0,-0.028355807113922715
2026-02-07,179.55,181.98,174.15,175.1,8652305.0,0.0
2026-02-08,179.55,181.98,174.15,175.1,8652305.0,0.0
2026-02-09,173.97,175.77,173.0,174.7,6355396.0,-0.0022844089091947906
2026-02-10,174.0,174.12,169.61,170.28,6789052.0,-0.025300515168860782
2026-02-11,170.31,171.78,168.78,169.66,5581880.0,-0.003641061780596644
2026-02-12,168.5,169.18,165.82,166.31,5856835.0,-0.019745373099139374
2026-02-13,166.31,168.2,164.97,165.84,6202610.0,-0.002826047742168214
2026-02-14,166.31,168.2,164.97,165.84,6202610.0,0.0
2026-02-15,166.31,168.2,164.97,165.84,6202610.0,0.0
2026-02-16,166.31,168.2,164.97,165.84,6202610.0,0.0
2026-02-17,166.31,168.2,164.97,165.84,6202610.0,0.0
2026-02-18,166.31,168.2,164.97,165.84,6202610.0,0.0
2026-02-19,166.31,168.2,164.97,165.84,6202610.0,0.0
2026-02-20,166.31,168.2,164.97,165.84,6202610.0,0.0
2026-02-21,166.31,168.2,164.97,165.84,6202610.0,0.0
2026-02-22,166.31,168.2,164.97,165.84,6202610.0,0.0
2026-02-23,166.31,168.2,164.97,165.84,6202610.0,0.0
2026-02-24,167.7,167.77,162.1,163.58,5657566.0,-0.013627592860588456
2026-02-25,163.58,165.5,163.36,163.92,4263338.0,0.0020784937033866413
2026-02-26,164.01,164.1,161.0,161.38,6548354.0,-0.015495363591996103
2026-02-27,161.87,161.9,161.02,161.15,3456940.0,-0.001425207584582866
2026-02-28,161.87,161.9,161.02,161.15,3456940.0,0.0
2026-03-01,161.87,161.9,161.02,161.15,3456940.0,0.0
2026-03-02,160.02,161.05,157.55,158.52,5773122.0,-0.016320198572758238
2026-03-03,158.2,165.0,156.88,161.68,7701116.0,0.019934393136512796
2026-03-04,160.05,160.6,155.57,156.0,6444178.0,-0.03513112320633349
2026-03-05,157.15,157.34,155.5,155.93,3112528.0,-0.0004487179487179249
2026-03-06,155.3,160.99,155.11,160.71,6306969.0,0.030654780991470565
2026-03-07,155.3,160.99,155.11,160.71,6306969.0,0.0
2026-03-08,155.3,160.99,155.11,160.71,6306969.0,0.0
2026-03-09,158.77,162.28,157.6,159.16,5080134.0,-0.009644701636488118
2026-03-10,158.92,160.0,157.4,157.69,4189578.0,-0.009235988941945217
2026-03-11,157.7,157.9,156.12,156.9,4219425.0,-0.0050098294121376785
2026-03-12,156.56,158.5,156.12,157.75,4265028.0,0.005417463352453744
2026-03-13,157.3,160.8,156.88,159.27,4722140.0,0.00963549920760709
2026-03-14,157.3,160.8,156.88,159.27,4722140.0,0.0
2026-03-15,157.3,160.8,156.88,159.27,4722140.0,0.0
2026-03-16,158.86,162.0,158.76,160.77,5506113.0,0.009417969485778777
2026-03-17,160.01,162.73,159.0,160.77,5033600.0,0.0
2026-03-18,160.8,161.8,157.63,158.19,3468015.0,-0.016047770106363157
2026-03-19,156.12,157.6,155.9,156.14,4187106.0,-0.0129590998166762
2026-03-20,156.0,156.7,153.86,153.86,5278314.0,-0.014602280005123425
2026-03-21,156.0,156.7,153.86,153.86,5278314.0,0.0
2026-03-22,156.0,156.7,153.86,153.86,5278314.0,0.0
2026-03-23,151.84,151.84,148.39,148.92,5784940.0,-0.03210711036006775
2026-03-24,149.85,150.37,147.23,148.45,4074985.0,-0.003156056943325214
2026-03-25,148.8,149.21,147.9,149.21,3690656.0,0.005119568878410474
2026-03-26,149.0,149.47,147.06,147.8,5730002.0,-0.009449768782253232
2026-03-27,146.9,148.99,146.55,148.46,3705383.0,0.004465493910690066
2026-03-28,146.9,148.99,146.55,148.46,3705383.0,0.0
2026-03-29,146.9,148.99,146.55,148.46,3705383.0,0.0
2026-03-30,146.97,148.35,145.12,146.68,4710272.0,-0.011989761551933209
2026-03-31,149.64,150.0,142.88,143.06,6797882.000000001,-0.024679574584128727
2026-04-01,143.6,145.89,142.06,144.38,6972614.0,0.009226897805116652
2026-04-02,143.6,145.36,142.88,144.06,4109182.0,-0.0022163734589277784
2026-04-03,144.0,144.48,140.67,141.7,4154965.0,-0.01638206302929346
2026-04-04,144.0,144.48,140.67,141.7,4154965.0,0.0
2026-04-05,144.0,144.48,140.67,141.7,4154965.0,0.0
2026-04-06,144.0,144.48,140.67,141.7,4154965.0,0.0
2026-04-07,141.2,142.86,140.19,141.31,2721679.0,-0.0027522935779815683
2026-04-08,142.39,144.13,142.0,143.94,4391943.0,0.018611563229778527
2026-04-09,143.1,143.1,138.48,139.31,7777642.0,-0.032166180352924845
2026-04-10,139.37,140.11,138.17,138.88,7341582.000000001,-0.0030866413035676166
2026-04-11,139.37,140.11,138.17,138.88,7341582.000000001,0.0
2026-04-12,139.37,140.11,138.17,138.88,7341582.000000001,0.0
2026-04-13,138.01,138.2,135.0,135.75,7738747.0,-0.02253744239631328
2026-04-14,135.8,139.38,135.26,139.06,8657845.0,0.02438305709023947
2026-04-15,138.28,140.2,137.7,139.05,5186537.0,-7.191140514883898e-05
2026-04-16,138.6,142.26,138.21,141.16,6206140.0,0.01517439769866935
2026-04-17,139.2,139.88,138.6,139.5,4113901.9999999995,-0.01175970529895154
2026-04-18,139.2,139.88,138.6,139.5,4113901.9999999995,0.0
2026-04-19,139.2,139.88,138.6,139.5,4113901.9999999995,0.0
2026-04-20,139.0,140.51,137.81,138.87,5132301.0,-0.004516129032258065
2026-04-21,138.79,140.3,136.5,136.86,5321681.0,-0.014473968459710496
2026-04-22,136.0,137.2,135.02,136.91,6912282.000000001,0.00036533684056694327
2026-04-23,140.5,145.52,140.5,142.38,14873275.0,0.03995325396245719
2026-04-24,141.06,143.77,139.8,141.95,7844866.0,-0.0030200870908836386
2026-04-25,141.06,143.77,139.8,141.95,7844866.0,0.0
2026-04-26,141.06,143.77,139.8,141.95,7844866.0,0.0
2026-04-27,140.08,140.68,138.08,138.31,6464051.0,-0.025642831983092584
2026-04-28,138.31,139.31,137.3,138.72,4800756.0,0.0029643554334466415
2026-04-29,138.02,144.0,138.0,143.14,9984983.0,0.0318627450980391
2026-04-30,142.3,146.95,141.5,143.35,9755162.0,0.0014670951515998176
2026-05-01,142.3,146.95,141.5,143.35,9755162.0,0.0
2026-05-02,142.3,146.95,141.5,143.35,9755162.0,0.0
2026-05-03,142.3,146.95,141.5,143.35,9755162.0,0.0
2026-05-04,142.3,146.95,141.5,143.35,9755162.0,0.0
2026-05-05,142.3,146.95,141.5,143.35,9755162.0,0.0
2026-05-06,140.82,142.45,139.72,140.92,8761997.0,-0.016951517265434313
2026-05-07,140.68,146.4,140.68,143.75,9721326.0,0.02008231620777745
2026-05-08,144.1,144.6,141.01,141.6,6166796.0,-0.014956521739130424
2026-05-09,144.1,144.6,141.01,141.6,6166796.0,0.0
2026-05-10,144.1,144.6,141.01,141.6,6166796.0,0.0
2026-05-11,140.9,142.8,139.36,140.37,8575788.0,-0.008686440677965979
2026-05-12,140.51,140.58,136.6,137.01,9058611.0,-0.023936738619363185
2026-05-13,136.7,137.58,133.0,133.8,9716285.0,-0.023428946792204752
2026-05-14,133.53,138.3,131.7,134.05,12023423.0,0.0018684603886398587
2026-05-15,132.93,133.58,130.33,131.41,7524470.0,-0.019694143976128453
2026-05-16,132.93,133.58,130.33,131.41,7524470.0,0.0
2026-05-17,132.93,133.58,130.33,131.41,7524470.0,0.0
2026-05-18,131.05,131.66,128.66,129.84,6079408.0,-0.011947340385054406
2026-05-19,129.88,133.28,129.38,129.78,7044487.0,-0.00046210720887251977
2026-05-20,129.13,132.98,129.01,131.46,7308117.0,0.012944983818770295
2026-05-21,131.08,134.88,130.71,131.37,8581124.0,-0.000684618895481548
2026-05-22,131.1,131.37,128.2,128.25,7299884.0,-0.023749714546700162
2026-05-23,131.1,131.37,128.2,128.25,7299884.0,0.0
2026-05-24,131.1,131.37,128.2,128.25,7299884.0,0.0
2026-05-25,127.49,130.8,125.36,128.63,8327282.000000001,0.002962962962962834
2026-05-26,128.4,130.89,126.01,126.68,9604343.0,-0.015159760553525525
2026-05-27,126.75,131.5,124.49,128.6,17645060.0,0.015156299336911871
2026-05-28,127.28,127.58,125.13,126.17,8391632.0,-0.018895800933125928
2026-05-29,125.78,131.88,125.08,128.3,17265564.0,0.0168819846239201
2026-05-30,125.78,131.88,125.08,128.3,17265564.0,0.0
2026-05-31,125.78,131.88,125.08,128.3,17265564.0,0.0
2026-06-01,127.0,128.97,125.91,128.13,9270956.0,-0.0013250194855808362
2026-06-02,127.5,128.88,125.6,125.7,9128579.0,-0.018965113556544066
2026-06-03,125.3,125.4,122.0,123.5,8939276.0,-0.017501988862370754
2026-06-04,123.5,125.49,122.03,122.1,6835635.000000001,-0.011336032388663986
2026-06-05,123.22,124.4,121.01,122.03,8129355.0,-0.000573300573300517
2026-06-06,123.22,124.4,121.01,122.03,8129355.0,0.0
2026-06-07,123.22,124.4,121.01,122.03,8129355.0,0.0
2026-06-08,121.01,122.09,117.18,117.97,8975409.0,-0.03327050725231506
2026-06-09,117.98,118.5,115.85,116.85,7474174.000000001,-0.009493939137068752
2026-06-10,116.0,119.93,115.82,118.79,11864446.0,0.016602481814292025
2026-06-11,118.19,120.66,117.82,119.6,7090639.999999999,0.006818755787524111
2026-06-12,119.4,122.35,118.54,118.54,10419862.0,-0.008862876254180474
2026-06-13,119.4,122.35,118.54,118.54,10419862.0,0.0
2026-06-14,119.4,122.35,118.54,118.54,10419862.0,0.0
2026-06-15,119.0,120.58,117.41,119.28,9167832.0,0.006242618525392318
2026-06-16,118.72,119.69,117.2,117.35,7603857.000000001,-0.016180415828303207
2026-06-17,117.41,119.96,115.54,117.7,8967680.0,0.0029825308904984915
2026-06-18,118.23,118.23,112.7,113.28,14299504.999999998,-0.03755310110450294
2026-06-19,118.23,118.23,112.7,113.28,14299504.999999998,0.0
2026-06-20,118.23,118.23,112.7,113.28,14299504.999999998,0.0
2026-06-21,118.23,118.23,112.7,113.28,14299504.999999998,0.0
2026-06-22,118.23,118.23,112.7,113.28,14299504.999999998,0.0
