,open,high,low,close,volume,return
2025-12-22,4.09,4.1,4.03,4.04,690822400.0,
2025-12-23,4.05,4.06,4.02,4.04,519673375.0,0.0
2025-12-24,4.03,4.07,4.0,4.06,523862162.0,0.004950495049504955
2025-12-25,4.05,4.08,4.05,4.06,354381001.0,0.0
2025-12-26,4.06,4.07,4.03,4.04,374638452.0,-0.004926108374384119
2025-12-27,4.06,4.07,4.03,4.04,374638452.0,0.0
2025-12-28,4.06,4.07,4.03,4.04,374638452.0,0.0
2025-12-29,4.05,4.2,4.04,4.13,922285357.0,0.022277227722772297
2025-12-30,4.12,4.2,4.11,4.17,610001837.0,0.009685230024213176
2025-12-31,4.17,4.27,4.15,4.21,817879846.0,0.00959232613908867
2026-01-01,4.17,4.27,4.15,4.21,817879846.0,0.0
2026-01-02,4.17,4.27,4.15,4.21,817879846.0,0.0
2026-01-03,4.17,4.27,4.15,4.21,817879846.0,0.0
2026-01-04,4.17,4.27,4.15,4.21,817879846.0,0.0
2026-01-05,4.22,4.27,4.19,4.23,850761574.0,0.004750593824228044
2026-01-06,4.24,4.54,4.23,4.5,2103770763.0,0.06382978723404253
2026-01-07,4.45,4.47,4.33,4.36,1275938261.0,-0.03111111111111109
2026-01-08,4.35,4.39,4.32,4.35,680469124.0,-0.002293577981651529
2026-01-09,4.34,4.54,4.33,4.41,1073467384.0,0.01379310344827589
2026-01-10,4.34,4.54,4.33,4.41,1073467384.0,0.0
2026-01-11,4.34,4.54,4.33,4.41,1073467384.0,0.0
2026-01-12,4.45,4.51,4.43,4.46,867335426.0,0.011337868480725488
2026-01-13,4.48,4.55,4.44,4.46,913792034.0,0.0
2026-01-14,4.54,4.73,4.53,4.6,1772476589.0,0.03139013452914785
2026-01-15,4.54,4.61,4.5,4.53,870073403.9999999,-0.015217391304347738
2026-01-16,4.55,4.57,4.44,4.46,867002583.0,-0.015452538631346657
2026-01-17,4.55,4.57,4.44,4.46,867002583.0,0.0
2026-01-18,4.55,4.57,4.44,4.46,867002583.0,0.0
2026-01-19,4.43,4.54,4.42,4.51,704684923.0,0.011210762331838486
2026-01-20,4.51,4.53,4.42,4.45,745262222.0,-0.013303769401330268
2026-01-21,4.44,4.51,4.43,4.46,744874389.0,0.0022471910112358273
2026-01-22,4.46,4.48,4.38,4.4,785561484.0,-0.013452914798206206
2026-01-23,4.41,4.51,4.39,4.45,1066707697.0000001,0.011363636363636243
2026-01-24,4.41,4.51,4.39,4.45,1066707697.0000001,0.0
2026-01-25,4.41,4.51,4.39,4.45,1066707697.0000001,0.0
2026-01-26,4.48,4.55,4.47,4.47,898430315.0,0.004494382022471877
2026-01-27,4.47,4.6,4.45,4.56,1098498792.0,0.020134228187919323
2026-01-28,4.55,4.58,4.5,4.53,812326697.0,-0.0065789473684209065
2026-01-29,4.52,4.54,4.41,4.45,863990073.0,-0.017660044150110354
2026-01-30,4.43,4.45,4.25,4.37,962397286.0,-0.017977528089887618
2026-01-31,4.43,4.45,4.25,4.37,962397286.0,0.0
2026-02-01,4.43,4.45,4.25,4.37,962397286.0,0.0
2026-02-02,4.32,4.37,4.23,4.24,724865455.0,-0.029748283752860427
