,open,high,low,close,volume,return
2021-11-12,20.56607862,20.57526811,20.19849902,20.37309933,995900.52,
2021-11-13,20.56607862,20.57526811,20.19849902,20.37309933,995900.52,0.0
2021-11-14,20.56607862,20.57526811,20.19849902,20.37309933,995900.52,0.0
2021-11-15,20.46499423,20.63040505,20.31796239,20.39147831,771862.37,0.0009021199819576609
2021-11-16,20.4925627,20.62121556,20.216878,20.22606749,758666.66,-0.008111762054979765
2021-11-17,20.18012004,20.36390984,19.9411933,20.28120443,840581.07,0.0027260336210812586
2021-11-18,20.216878,20.216878,19.9411933,19.95957228,808603.42,-0.015858631626642472
2021-11-19,19.90443534,20.216878,19.67469809,20.1249831,1257621.54,0.008287292817679592
2021-11-20,19.90443534,20.216878,19.67469809,20.1249831,1257621.54,0.0
2021-11-21,19.90443534,20.216878,19.67469809,20.1249831,1257621.54,0.0
2021-11-22,20.1249831,20.4925627,20.06065667,20.26282545,969523.41,0.006849315068493178
2021-11-23,20.216878,21.21853241,20.14336208,21.05312159,2233422.18,0.03900226757369607
2021-11-24,21.135827,21.135827,20.63040505,20.73148944,1209785.13,-0.015277171540811874
2021-11-25,20.72229995,21.03474261,20.40985729,20.88771077,1141548.02,0.007535460992907916
2021-11-26,20.75905791,21.08069006,20.62121556,20.66716301,905427.41,-0.010558732952045902
2021-11-27,20.75905791,21.08069006,20.62121556,20.66716301,905427.41,0.0
2021-11-28,20.75905791,21.08069006,20.62121556,20.66716301,905427.41,0.0
2021-11-29,20.22606749,20.37309933,20.1249831,20.28120443,834447.93,-0.018674966651845315
2021-11-30,20.28120443,20.41904678,20.10660412,20.1249831,742530.1,-0.0077027639329405595
2021-12-01,20.11579361,20.29039392,20.04227769,20.26282545,583551.99,0.006849315068493178
2021-12-02,20.10660412,20.75905791,19.98714075,20.54769964,1379479.08,0.014058956916099818
2021-12-03,20.52932066,20.72229995,20.27201494,20.63040505,997159.14,0.004025044722719029
2021-12-04,20.52932066,20.72229995,20.27201494,20.63040505,997159.14,0.0
2021-12-05,20.52932066,20.72229995,20.27201494,20.63040505,997159.14,0.0
2021-12-06,20.72229995,21.18177445,20.62121556,20.85095281,1504016.05,0.010690423162583507
2021-12-07,21.2277219,22.46830305,21.05312159,22.28451325,3947906.08,0.0687527545174087
2021-12-08,22.06396549,22.07315498,21.55854354,21.82503875,2632693.85,-0.020618556701030855
2021-12-09,21.65043844,22.19261835,21.60449099,21.88017569,1836729.2,0.00252631578947371
2021-12-10,21.6871964,21.81584926,21.26447986,21.29204833,1636866.24,-0.026879462410751898
2021-12-11,21.6871964,21.81584926,21.26447986,21.29204833,1636866.24,0.0
2021-12-12,21.6871964,21.81584926,21.26447986,21.29204833,1636866.24,0.0
2021-12-13,21.74233334,22.71641928,21.73314385,22.16504988,3438032.64,0.041001294777729846
2021-12-14,21.91693365,22.04558651,21.70557538,21.7790913,1490329.74,-0.01741293532338306
2021-12-15,21.76071232,21.99044957,21.6871964,21.69638589,902656.83,-0.003797468354430511
2021-12-16,21.67800691,21.9628811,21.48502762,21.95369161,1051962.35,0.011859381617958631
2021-12-17,22.054776,22.31208172,21.63205946,21.63205946,1161497.52,-0.014650481372959323
2021-12-18,22.054776,22.31208172,21.63205946,21.63205946,1161497.52,0.0
2021-12-19,22.054776,22.31208172,21.63205946,21.63205946,1161497.52,0.0
2021-12-20,21.5953015,21.5953015,21.23691139,21.27366935,934362.87,-0.01656754460492782
2021-12-21,21.24610088,21.62286997,21.2277219,21.53097507,695688.44,0.012095032397408279
